farm_id,season,crop,yield_tons
Farm_00001,2026,Cassava,10.78
Farm_00002,2026,Rice,34.78
Farm_00003,2025,Yam,27.87
Farm_00004,2025,Millet,7.37
Farm_00005,2024,Rice,55.55
Farm_00006,2025,Yam,76.48
Farm_00007,2024,Yam,29.1
Farm_00008,2024,Sorghum,18.92
Farm_00009,2024,Tomato,79.46
Farm_00010,2025,Maize,21.49
Farm_00011,2026,Maize,5.49
Farm_00012,2025,Yam,6.78
Farm_00013,2025,Soybean,41.88
Farm_00014,2026,Millet,8.0
Farm_00015,2024,Soybean,2.21
Farm_00016,2025,Millet,35.03
Farm_00017,2024,Sorghum,8.18
Farm_00018,2026,Tomato,66.96
Farm_00019,2026,Maize,59.21
Farm_00020,2024,Maize,54.38
Farm_00021,2026,Millet,41.19
Farm_00022,2025,Tomato,6.13
Farm_00023,2026,Cassava,7.37
Farm_00024,2025,Tomato,34.77
Farm_00025,2024,Tomato,31.38
Farm_00026,2024,Yam,1.11
Farm_00027,2024,Soybean,3.31
Farm_00028,2024,Yam,19.23
Farm_00029,2024,Tomato,27.01
Farm_00030,2025,Rice,16.46
Farm_00031,2025,Yam,24.5
Farm_00032,2024,Cassava,31.94
Farm_00033,2024,Soybean,62.6
Farm_00034,2025,Soybean,4.19
Farm_00035,2025,Maize,33.31
Farm_00036,2025,Rice,51.91
Farm_00037,2024,Cassava,31.32
Farm_00038,2026,Tomato,67.56
Farm_00039,2025,Tomato,9.46
Farm_00040,2026,Rice,74.52
Farm_00041,2025,Soybean,10.09
Farm_00042,2026,Millet,74.35
Farm_00043,2024,Maize,74.99
Farm_00044,2024,Sorghum,1.98
Farm_00045,2024,Millet,21.65
Farm_00046,2026,Rice,73.81
Farm_00047,2024,Soybean,55.72
Farm_00048,2026,Rice,17.19
Farm_00049,2024,Maize,42.36
Farm_00050,2025,Millet,74.35
Farm_00051,2026,Maize,70.92
Farm_00052,2025,Soybean,17.31
Farm_00053,2024,Maize,54.69
Farm_00054,2026,Yam,18.21
Farm_00055,2024,Sorghum,6.94
Farm_00056,2025,Yam,37.98
Farm_00057,2024,Maize,7.74
Farm_00058,2025,Cassava,16.59
Farm_00059,2025,Maize,34.64
Farm_00060,2025,Cassava,20.87
Farm_00061,2024,Sorghum,4.67
Farm_00062,2024,Cassava,35.02
Farm_00063,2026,Tomato,53.88
Farm_00064,2026,Cassava,7.29
Farm_00065,2026,Rice,56.56
Farm_00066,2026,Soybean,55.09
Farm_00067,2026,Yam,26.36
Farm_00068,2024,Soybean,79.24
Farm_00069,2024,Sorghum,56.8
Farm_00070,2024,Cassava,26.1
Farm_00071,2026,Tomato,12.04
Farm_00072,2024,Maize,26.13
Farm_00073,2024,Soybean,63.38
Farm_00074,2024,Rice,41.96
Farm_00075,2025,Maize,46.53
Farm_00076,2024,Cassava,28.71
Farm_00077,2024,Soybean,62.38
Farm_00078,2025,Sorghum,51.02
Farm_00079,2024,Tomato,35.76
Farm_00080,2026,Soybean,31.27
Farm_00081,2024,Cassava,33.92
Farm_00082,2026,Tomato,37.17
Farm_00083,2024,Cassava,77.8
Farm_00084,2025,Maize,32.73
Farm_00085,2026,Millet,9.42
Farm_00086,2026,Maize,9.43
Farm_00087,2024,Sorghum,35.73
Farm_00088,2025,Yam,15.74
Farm_00089,2024,Soybean,44.84
Farm_00090,2026,Soybean,8.23
Farm_00091,2025,Rice,62.22
Farm_00092,2024,Soybean,31.08
Farm_00093,2026,Millet,49.61
Farm_00094,2026,Tomato,19.64
Farm_00095,2024,Soybean,54.48
Farm_00096,2026,Soybean,57.65
Farm_00097,2026,Millet,66.6
Farm_00098,2024,Tomato,68.2
Farm_00099,2025,Sorghum,41.83
Farm_00100,2026,Sorghum,75.51
Farm_00101,2025,Rice,54.68
Farm_00102,2024,Cassava,56.89
