farmer_id,name,region,experience_years
FRM00001,Farmer 1,Nasarawa,4
FRM00002,Farmer 2,Enugu,20
FRM00003,Farmer 3,Nasarawa,39
FRM00004,Farmer 4,Ogun,25
FRM00005,Farmer 5,Niger,10
FRM00006,Farmer 6,Benue,8
FRM00007,Farmer 7,Plateau,11
FRM00008,Farmer 8,Ogun,2
FRM00009,Farmer 9,Kano,13
FRM00010,Farmer 10,Niger,7
FRM00011,Farmer 11,Enugu,12
FRM00012,Farmer 12,Ogun,16
FRM00013,Farmer 13,Niger,28
FRM00014,Farmer 14,Oyo,10
FRM00015,Farmer 15,Kaduna,11
FRM00016,Farmer 16,Oyo,14
FRM00017,Farmer 17,Plateau,36
FRM00018,Farmer 18,Bauchi,32
FRM00019,Farmer 19,Enugu,2
FRM00020,Farmer 20,Plateau,13
FRM00021,Farmer 21,Kaduna,5
FRM00022,Farmer 22,Niger,25
FRM00023,Farmer 23,Plateau,18
FRM00024,Farmer 24,Plateau,16
FRM00025,Farmer 25,Oyo,34
FRM00026,Farmer 26,Oyo,16
FRM00027,Farmer 27,Plateau,17
FRM00028,Farmer 28,Benue,22
FRM00029,Farmer 29,Niger,14
FRM00030,Farmer 30,Kaduna,6
FRM00031,Farmer 31,Kaduna,4
FRM00032,Farmer 32,Ogun,12
FRM00033,Farmer 33,Kano,27
FRM00034,Farmer 34,Bauchi,5
FRM00035,Farmer 35,Plateau,39
FRM00036,Farmer 36,Niger,11
FRM00037,Farmer 37,Niger,4
FRM00038,Farmer 38,Benue,13
FRM00039,Farmer 39,Benue,24
FRM00040,Farmer 40,Enugu,33
FRM00041,Farmer 41,Ogun,17
FRM00042,Farmer 42,Nasarawa,24
FRM00043,Farmer 43,Bauchi,4
FRM00044,Farmer 44,Enugu,38
FRM00045,Farmer 45,Kano,4
FRM00046,Farmer 46,Benue,1
FRM00047,Farmer 47,Plateau,40
FRM00048,Farmer 48,Oyo,14
FRM00049,Farmer 49,Bauchi,2
FRM00050,Farmer 50,Enugu,11
FRM00051,Farmer 51,Niger,38
FRM00052,Farmer 52,Nasarawa,7
FRM00053,Farmer 53,Oyo,16
FRM00054,Farmer 54,Oyo,2
FRM00055,Farmer 55,Nasarawa,30
FRM00056,Farmer 56,Oyo,11
FRM00057,Farmer 57,Ogun,18
FRM00058,Farmer 58,Kano,12
FRM00059,Farmer 59,Enugu,30
FRM00060,Farmer 60,Ogun,14
FRM00061,Farmer 61,Kano,21
FRM00062,Farmer 62,Ogun,12
FRM00063,Farmer 63,Kaduna,38
FRM00064,Farmer 64,Nasarawa,6
FRM00065,Farmer 65,Niger,11
FRM00066,Farmer 66,Oyo,19
FRM00067,Farmer 67,Oyo,14
FRM00068,Farmer 68,Niger,32
FRM00069,Farmer 69,Kaduna,12
FRM00070,Farmer 70,Benue,17
FRM00071,Farmer 71,Ogun,29
FRM00072,Farmer 72,Benue,29
FRM00073,Farmer 73,Benue,25
FRM00074,Farmer 74,Benue,39
FRM00075,Farmer 75,Nasarawa,24
FRM00076,Farmer 76,Benue,7
FRM00077,Farmer 77,Niger,10
FRM00078,Farmer 78,Niger,28
FRM00079,Farmer 79,Kaduna,3
FRM00080,Farmer 80,Bauchi,25
FRM00081,Farmer 81,Kaduna,5
FRM00082,Farmer 82,Niger,1
FRM00083,Farmer 83,Plateau,20
FRM00084,Farmer 84,Nasarawa,23
FRM00085,Farmer 85,Kano,22
FRM00086,Farmer 86,Kano,2
FRM00087,Farmer 87,Benue,11
FRM00088,Farmer 88,Plateau,16
FRM00089,Farmer 89,Nasarawa,13
FRM00090,Farmer 90,Ogun,29
FRM00091,Farmer 91,Kano,24
FRM00092,Farmer 92,Ogun,23
FRM00093,Farmer 93,Kano,38
FRM00094,Farmer 94,Benue,33
FRM00095,Farmer 95,Benue,33
FRM00096,Farmer 96,Plateau,20
FRM00097,Farmer 97,Plateau,16
FRM00098,Farmer 98,Kano,14
FRM00099,Farmer 99,Oyo,29
FRM00100,Farmer 100,Oyo,9
FRM00101,Farmer 101,Plateau,34
FRM00102,Farmer 102,Oyo,37
FRM00103,Farmer 103,Kaduna,16
FRM00104,Farmer 104,Plateau,38
FRM00105,Farmer 105,Niger,11
FRM00106,Farmer 106,Kaduna,28
FRM00107,Farmer 107,Benue,9
FRM00108,Farmer 108,Kano,12
FRM00109,Farmer 109,Plateau,21
FRM00110,Farmer 110,Bauchi,6
FRM00111,Farmer 111,Nasarawa,17
FRM00112,Farmer 112,Benue,14
FRM00113,Farmer 113,Oyo,32
FRM00114,Farmer 114,Niger,2
FRM00115,Farmer 115,Kano,21
FRM00116,Farmer 116,Kano,33
FRM00117,Farmer 117,Enugu,40
FRM00118,Farmer 118,Kano,18
FRM00119,Farmer 119,Ogun,3
FRM00120,Farmer 120,Enugu,24
FRM00121,Farmer 121,Ogun,3
FRM00122,Farmer 122,Bauchi,28
FRM00123,Farmer 123,Benue,13
FRM00124,Farmer 124,Oyo,20
FRM00125,Farmer 125,Bauchi,18
FRM00126,Farmer 126,Plateau,11
FRM00127,Farmer 127,Plateau,14
FRM00128,Farmer 128,Nasarawa,6
