farm_id,fertilizer,kg_used
Farm_00001,NPK,259.6
Farm_00002,Urea,196.9
Farm_00003,Urea,245.9
Farm_00004,Urea,172.6
Farm_00005,DAP,381.1
Farm_00006,DAP,158.4
Farm_00007,NPK,222.4
Farm_00008,NPK,148.3
Farm_00009,NPK,77.4
Farm_00010,Urea,337.0
Farm_00011,NPK,125.2
Farm_00012,DAP,135.1
Farm_00013,Urea,214.7
Farm_00014,Urea,51.8
Farm_00015,DAP,212.1
Farm_00016,NPK,52.1
Farm_00017,NPK,74.7
Farm_00018,NPK,334.0
Farm_00019,Urea,327.5
Farm_00020,Urea,289.4
Farm_00021,NPK,287.3
Farm_00022,Urea,399.5
Farm_00023,DAP,176.1
Farm_00024,DAP,93.1
Farm_00025,DAP,189.4
Farm_00026,NPK,108.4
Farm_00027,Urea,287.8
Farm_00028,NPK,120.7
Farm_00029,NPK,267.9
Farm_00030,DAP,369.4
Farm_00031,DAP,307.1
Farm_00032,NPK,114.0
Farm_00033,Urea,131.6
Farm_00034,Urea,108.5
Farm_00035,Urea,90.4
Farm_00036,Urea,296.7
Farm_00037,NPK,134.6
Farm_00038,DAP,34.5
Farm_00039,NPK,156.3
Farm_00040,NPK,336.6
Farm_00041,DAP,38.5
Farm_00042,Urea,298.6
Farm_00043,NPK,288.8
Farm_00044,DAP,269.6
Farm_00045,DAP,34.8
Farm_00046,DAP,339.8
Farm_00047,DAP,36.2
Farm_00048,Urea,147.9
Farm_00049,Urea,309.6
Farm_00050,DAP,52.7
Farm_00051,NPK,212.9
Farm_00052,Urea,196.3
Farm_00053,DAP,67.2
Farm_00054,DAP,317.1
Farm_00055,Urea,258.9
Farm_00056,Urea,308.8
Farm_00057,DAP,364.2
Farm_00058,DAP,101.0
Farm_00059,DAP,48.7
Farm_00060,NPK,334.2
Farm_00061,Urea,251.3
Farm_00062,DAP,239.7
Farm_00063,NPK,102.9
Farm_00064,Urea,138.7
Farm_00065,DAP,146.2
Farm_00066,Urea,151.8
Farm_00067,DAP,243.9
Farm_00068,DAP,204.8
Farm_00069,NPK,117.7
Farm_00070,NPK,377.0
Farm_00071,Urea,384.0
Farm_00072,Urea,63.4
Farm_00073,DAP,128.8
Farm_00074,Urea,147.4
Farm_00075,NPK,130.8
Farm_00076,NPK,292.5
Farm_00077,Urea,172.3
Farm_00078,NPK,33.1
Farm_00079,DAP,69.9
Farm_00080,DAP,170.7
Farm_00081,DAP,153.9
Farm_00082,DAP,154.0
Farm_00083,NPK,29.7
Farm_00084,DAP,361.7
Farm_00085,DAP,397.6
Farm_00086,NPK,48.9
Farm_00087,DAP,110.6
Farm_00088,Urea,170.5
Farm_00089,Urea,337.8
Farm_00090,Urea,299.7
Farm_00091,DAP,347.3
Farm_00092,NPK,229.9
Farm_00093,NPK,126.8
Farm_00094,Urea,114.9
Farm_00095,NPK,247.5
Farm_00096,DAP,234.2
Farm_00097,DAP,254.4
Farm_00098,Urea,92.5
Farm_00099,Urea,389.1
Farm_00100,Urea,221.4
Farm_00101,Urea,71.0
Farm_00102,Urea,365.2
Farm_00103,Urea,93.4
Farm_00104,DAP,248.0
Farm_00105,DAP,37.2
Farm_00106,DAP,113.2
Farm_00107,Urea,47.9
Farm_00108,NPK,111.9
Farm_00109,DAP,147.1
Farm_00110,NPK,301.6
Farm_00111,DAP,97.9
Farm_00112,DAP,162.9
Farm_00113,DAP,251.9
Farm_00114,DAP,292.2
Farm_00115,Urea,383.8
Farm_00116,Urea,180.3
Farm_00117,DAP,20.4
Farm_00118,NPK,399.8
Farm_00119,Urea,398.8
Farm_00120,Urea,337.0
Farm_00121,NPK,272.9
Farm_00122,Urea,230.5
Farm_00123,NPK,90.7
Farm_00124,Urea,373.6
Farm_00125,NPK,347.8
Farm_00126,NPK,349.9
Farm_00127,Urea,146.6
Farm_00128,DAP,58.3
Farm_00129,Urea,265.8
Farm_00130,Urea,159.4
Farm_00131,DAP,358.4
Farm_00132,NPK,76.3
Farm_00133,Urea,275.6
Farm_00134,DAP,358.0
Farm_00135,NPK,154.4
Farm_00136,DAP,320.5
Farm_00137,DAP,162.8
Farm_00138,DAP,37.7
Farm_00139,NPK,81.6
Farm_00140,Urea,36.7
Farm_00141,DAP,334.8
Farm_00142,DAP,273.8
Farm_00143,Urea,55.7
Farm_00144,NPK,102.8
Farm_00145,Urea,238.7
Farm_00146,NPK,337.5
Farm_00147,NPK,343.0
Farm_00148,DAP,223.0
Farm_00149,NPK,292.4
Farm_00150,NPK,314.6
Farm_00151,DAP,49.5
Farm_00152,Urea,135.0
Farm_00153,NPK,88.3
Farm_00154,NPK,222.2
Farm_00155,DAP,281.0
Farm_00156,Urea,369.9
Farm_00157,Urea,271.3
Farm_00158,NPK,128.4
Farm_00159,Urea,187.3
Farm_00160,Urea,318.3
Farm_00161,Urea,301.3
Farm_00162,DAP,207.0
Farm_00163,Urea,72.3
Farm_00164,NPK,387.6
Farm_00165,Urea,383.4
Farm_00166,DAP,289.1
Farm_00167,Urea,160.5
Farm_00168,NPK,86.0
Farm_00169,DAP,206.9
Farm_00170,NPK,374.8
Farm_00171,DAP,292.2
Farm_00172,NPK,270.4
Farm_00173,NPK,134.0
Farm_00174,DAP,64.5
Farm_00175,Urea,279.4
Farm_00176,NPK,330.4
Farm_00177,DAP,392.1
Farm_00178,Urea,298.8
Farm_00179,NPK,219.0
Farm_00180,NPK,89.7
Farm_00181,DAP,82.9
Farm_00182,DAP,147.7
Farm_00183,DAP,75.0
Farm_00184,Urea,277.6
Farm_00185,Urea,167.1
Farm_00186,NPK,379.8
Farm_00187,Urea,275.5
Farm_00188,Urea,354.9
Farm_00189,DAP,81.3
Farm_00190,Urea,287.9
Farm_00191,DAP,283.2
Farm_00192,DAP,198.2
Farm_00193,DAP,257.4
Farm_00194,DAP,209.0
Farm_00195,DAP,95.2
Farm_00196,Urea,138.9
Farm_00197,DAP,359.1
Farm_00198,DAP,208.7
Farm_00199,NPK,46.4
Farm_00200,Urea,212.6
Farm_00201,Urea,104.6
Farm_00202,DAP,90.2
Farm_00203,Urea,54.9
Farm_00204,NPK,179.1
Farm_00205,DAP,268.6
Farm_00206,NPK,139.3
Farm_00207,NPK,299.6
Farm_00208,Urea,25.8
Farm_00209,NPK,392.0
Farm_00210,Urea,248.7
Farm_00211,NPK,320.2
Farm_00212,Urea,298.4
Farm_00213,DAP,28.9
Farm_00214,Urea,249.1
Farm_00215,NPK,187.1
Farm_00216,Urea,261.5
Farm_00217,DAP,360.8
Farm_00218,Urea,161.2
Farm_00219,NPK,145.1
Farm_00220,NPK,232.7
Farm_00221,Urea,187.8
Farm_00222,Urea,165.6
Farm_00223,NPK,66.7
Farm_00224,DAP,216.7
Farm_00225,DAP,143.6
Farm_00226,DAP,68.6
Farm_00227,Urea,172.9
Farm_00228,NPK,79.2
Farm_00229,NPK,195.6
Farm_00230,DAP,258.7
Farm_00231,DAP,277.5
Farm_00232,Urea,135.8
Farm_00233,NPK,209.9
Farm_00234,DAP,40.0
Farm_00235,Urea,110.5
Farm_00236,DAP,44.4
Farm_00237,Urea,391.6
Farm_00238,DAP,197.3
Farm_00239,Urea,222.1
Farm_00240,Urea,92.5
Farm_00241,NPK,124.4
Farm_00242,Urea,271.2
Farm_00243,DAP,175.5
Farm_00244,Urea,379.4
Farm_00245,NPK,133.5
Farm_00246,DAP,310.4
Farm_00247,DAP,355.9
Farm_00248,Urea,209.6
Farm_00249,Urea,161.9
Farm_00250,Urea,27.6
Farm_00251,DAP,335.7
Farm_00252,DAP,347.7
Farm_00253,Urea,125.6
Farm_00254,Urea,305.2
Farm_00255,NPK,145.3
Farm_00256,NPK,365.2
Farm_00257,DAP,243.7
Farm_00258,NPK,262.5
Farm_00259,Urea,173.4
Farm_00260,DAP,120.8
Farm_00261,NPK,112.0
Farm_00262,NPK,268.6
Farm_00263,NPK,317.1
Farm_00264,DAP,369.9
Farm_00265,Urea,195.0
Farm_00266,DAP,127.5
Farm_00267,Urea,21.8
Farm_00268,Urea,161.7
Farm_00269,DAP,67.9
Farm_00270,DAP,354.0
Farm_00271,NPK,375.9
Farm_00272,Urea,38.7
Farm_00273,DAP,238.1
Farm_00274,Urea,141.6
Farm_00275,NPK,192.1
Farm_00276,DAP,110.0
Farm_00277,Urea,177.2
Farm_00278,Urea,73.8
Farm_00279,DAP,335.1
Farm_00280,Urea,217.6
Farm_00281,DAP,221.1
Farm_00282,DAP,321.1
Farm_00283,Urea,271.8
Farm_00284,Urea,64.1
Farm_00285,NPK,168.5
Farm_00286,DAP,324.4
Farm_00287,NPK,222.3
Farm_00288,NPK,364.1
Farm_00289,DAP,392.7
Farm_00290,Urea,121.1
Farm_00291,Urea,46.2
Farm_00292,NPK,104.9
Farm_00293,Urea,348.5
Farm_00294,DAP,216.5
Farm_00295,DAP,199.9
Farm_00296,DAP,29.4
Farm_00297,Urea,169.4
Farm_00298,NPK,93.2
Farm_00299,Urea,207.0
Farm_00300,DAP,136.1
Farm_00301,Urea,398.4
Farm_00302,Urea,274.9
Farm_00303,Urea,251.2
Farm_00304,DAP,91.4
Farm_00305,DAP,282.4
Farm_00306,NPK,316.8
Farm_00307,NPK,356.8
Farm_00308,DAP,396.5
Farm_00309,Urea,334.4
Farm_00310,Urea,287.4
Farm_00311,DAP,270.8
Farm_00312,DAP,333.6
Farm_00313,NPK,162.1
Farm_00314,DAP,111.8
Farm_00315,Urea,86.2
Farm_00316,DAP,232.7
Farm_00317,Urea,52.1
Farm_00318,DAP,394.5
Farm_00319,DAP,158.2
Farm_00320,DAP,280.9
Farm_00321,Urea,43.3
Farm_00322,NPK,306.4
Farm_00323,DAP,397.0
Farm_00324,DAP,328.5
Farm_00325,NPK,72.2
Farm_00326,NPK,166.9
Farm_00327,NPK,216.0
Farm_00328,Urea,186.7
Farm_00329,NPK,284.6
Farm_00330,NPK,52.9
Farm_00331,DAP,29.1
Farm_00332,DAP,67.7
Farm_00333,DAP,116.8
Farm_00334,Urea,376.0
Farm_00335,NPK,48.4
Farm_00336,NPK,290.5
Farm_00337,DAP,219.2
Farm_00338,Urea,98.1
Farm_00339,Urea,291.6
Farm_00340,NPK,179.1
Farm_00341,DAP,342.3
Farm_00342,NPK,135.2
Farm_00343,NPK,224.2
Farm_00344,NPK,356.1
Farm_00345,NPK,378.8
Farm_00346,DAP,307.0
Farm_00347,NPK,211.1
Farm_00348,DAP,203.9
Farm_00349,NPK,393.4
Farm_00350,NPK,362.7
Farm_00351,NPK,172.2
Farm_00352,DAP,309.3
Farm_00353,Urea,294.7
Farm_00354,NPK,160.5
Farm_00355,DAP,213.1
Farm_00356,Urea,94.6
Farm_00357,NPK,135.2
Farm_00358,NPK,365.7
Farm_00359,NPK,265.7
Farm_00360,Urea,208.5
Farm_00361,DAP,343.6
Farm_00362,Urea,54.7
Farm_00363,Urea,97.6
Farm_00364,NPK,373.6
Farm_00365,DAP,143.3
Farm_00366,DAP,227.0
Farm_00367,DAP,269.6
Farm_00368,DAP,309.0
Farm_00369,Urea,140.8
Farm_00370,NPK,369.1
Farm_00371,DAP,52.8
Farm_00372,DAP,342.9
Farm_00373,DAP,53.0
Farm_00374,DAP,211.7
Farm_00375,Urea,234.7
Farm_00376,DAP,186.5
Farm_00377,NPK,377.2
Farm_00378,DAP,62.8
Farm_00379,NPK,229.4
Farm_00380,NPK,335.7
Farm_00381,DAP,199.8
Farm_00382,NPK,332.6
Farm_00383,NPK,211.5
Farm_00384,DAP,295.2
Farm_00385,DAP,207.2
Farm_00386,DAP,172.6
Farm_00387,DAP,164.9
Farm_00388,Urea,258.3
Farm_00389,NPK,137.9
Farm_00390,NPK,298.3
Farm_00391,NPK,74.2
Farm_00392,NPK,309.2
Farm_00393,Urea,180.3
Farm_00394,Urea,236.9
Farm_00395,Urea,251.1
Farm_00396,NPK,235.1
Farm_00397,Urea,31.6
Farm_00398,Urea,294.3
Farm_00399,Urea,384.3
Farm_00400,Urea,29.7
Farm_00401,DAP,100.7
Farm_00402,DAP,234.2
Farm_00403,Urea,72.8
Farm_00404,Urea,357.9
Farm_00405,Urea,203.3
Farm_00406,DAP,176.5
Farm_00407,DAP,107.0
Farm_00408,NPK,24.0
Farm_00409,Urea,399.1
Farm_00410,NPK,213.3
Farm_00411,DAP,364.9
Farm_00412,DAP,314.1
Farm_00413,NPK,257.3
Farm_00414,Urea,294.0
Farm_00415,Urea,181.2
Farm_00416,Urea,171.7
Farm_00417,DAP,100.1
Farm_00418,NPK,163.5
Farm_00419,Urea,166.3
Farm_00420,Urea,91.7
Farm_00421,NPK,52.7
Farm_00422,Urea,81.9
Farm_00423,NPK,347.5
Farm_00424,NPK,394.2
Farm_00425,Urea,223.1
Farm_00426,DAP,180.6
Farm_00427,NPK,248.9
Farm_00428,Urea,218.4
Farm_00429,DAP,67.8
Farm_00430,NPK,176.4
Farm_00431,Urea,93.6
Farm_00432,Urea,94.6
Farm_00433,NPK,127.8
Farm_00434,Urea,136.9
Farm_00435,DAP,389.3
Farm_00436,DAP,153.8
Farm_00437,Urea,236.0
Farm_00438,NPK,77.0
Farm_00439,DAP,248.0
Farm_00440,DAP,181.5
Farm_00441,NPK,171.9
Farm_00442,Urea,70.0
Farm_00443,NPK,347.2
Farm_00444,Urea,141.0
Farm_00445,Urea,357.1
Farm_00446,Urea,263.2
Farm_00447,Urea,95.8
Farm_00448,DAP,157.6
Farm_00449,DAP,252.9
Farm_00450,Urea,293.1
Farm_00451,DAP,47.7
Farm_00452,DAP,395.6
Farm_00453,DAP,306.7
Farm_00454,Urea,83.3
Farm_00455,DAP,270.3
Farm_00456,Urea,343.4
Farm_00457,NPK,62.4
Farm_00458,Urea,174.8
Farm_00459,NPK,103.6
Farm_00460,DAP,103.4
Farm_00461,DAP,241.4
Farm_00462,DAP,78.4
Farm_00463,Urea,358.5
Farm_00464,DAP,120.9
Farm_00465,DAP,320.5
Farm_00466,NPK,246.7
Farm_00467,DAP,348.0
Farm_00468,Urea,335.4
Farm_00469,Urea,139.6
Farm_00470,DAP,325.1
Farm_00471,Urea,367.0
Farm_00472,DAP,63.5
Farm_00473,DAP,383.6
Farm_00474,DAP,69.2
Farm_00475,DAP,390.7
Farm_00476,DAP,316.7
Farm_00477,DAP,171.5
Farm_00478,DAP,340.8
Farm_00479,DAP,299.6
Farm_00480,NPK,68.2
Farm_00481,DAP,96.7
Farm_00482,Urea,92.9
Farm_00483,Urea,76.0
Farm_00484,DAP,362.2
Farm_00485,Urea,328.7
Farm_00486,DAP,95.1
Farm_00487,Urea,266.5
Farm_00488,DAP,118.7
Farm_00489,DAP,228.7
Farm_00490,NPK,344.3
Farm_00491,NPK,257.9
Farm_00492,DAP,301.6
Farm_00493,NPK,276.0
Farm_00494,DAP,197.6
Farm_00495,DAP,42.0
Farm_00496,Urea,219.4
Farm_00497,Urea,122.2
Farm_00498,DAP,80.1
Farm_00499,NPK,37.4
Farm_00500,NPK,345.7
Farm_00501,DAP,306.6
Farm_00502,NPK,128.9
Farm_00503,NPK,397.2
Farm_00504,Urea,374.3
Farm_00505,Urea,31.6
Farm_00506,NPK,29.2
Farm_00507,DAP,249.0
Farm_00508,Urea,106.8
Farm_00509,NPK,92.7
Farm_00510,Urea,66.5
Farm_00511,NPK,332.0
Farm_00512,NPK,292.9
Farm_00513,NPK,149.0
Farm_00514,NPK,32.6
Farm_00515,DAP,103.9
Farm_00516,Urea,344.0
Farm_00517,Urea,359.4
Farm_00518,NPK,132.4
Farm_00519,DAP,389.5
Farm_00520,NPK,36.3
Farm_00521,Urea,174.7
Farm_00522,Urea,375.9
Farm_00523,NPK,162.3
Farm_00524,Urea,81.8
Farm_00525,NPK,219.8
Farm_00526,DAP,66.0
Farm_00527,DAP,332.5
Farm_00528,DAP,203.9
Farm_00529,Urea,191.7
Farm_00530,NPK,350.6
Farm_00531,Urea,195.1
Farm_00532,DAP,167.8
Farm_00533,DAP,349.3
Farm_00534,Urea,85.2
Farm_00535,NPK,191.9
Farm_00536,DAP,143.1
Farm_00537,DAP,88.9
Farm_00538,Urea,351.3
Farm_00539,DAP,309.2
Farm_00540,DAP,378.3
Farm_00541,Urea,225.2
Farm_00542,NPK,229.4
Farm_00543,Urea,179.2
Farm_00544,DAP,62.8
Farm_00545,Urea,66.6
Farm_00546,NPK,72.0
Farm_00547,NPK,350.4
Farm_00548,Urea,259.0
Farm_00549,Urea,98.5
Farm_00550,NPK,188.9
Farm_00551,NPK,243.6
Farm_00552,DAP,189.2
Farm_00553,DAP,104.8
Farm_00554,DAP,99.8
Farm_00555,Urea,54.9
Farm_00556,NPK,75.1
Farm_00557,Urea,342.7
Farm_00558,Urea,249.3
Farm_00559,Urea,193.2
Farm_00560,NPK,113.7
Farm_00561,Urea,177.0
Farm_00562,NPK,141.0
Farm_00563,NPK,295.3
Farm_00564,NPK,336.9
Farm_00565,NPK,299.6
Farm_00566,NPK,151.0
Farm_00567,DAP,89.3
Farm_00568,Urea,387.0
Farm_00569,DAP,343.7
Farm_00570,DAP,359.9
Farm_00571,NPK,148.0
Farm_00572,Urea,127.6
Farm_00573,Urea,223.1
Farm_00574,Urea,333.2
Farm_00575,Urea,265.4
Farm_00576,Urea,152.5
Farm_00577,DAP,196.7
Farm_00578,NPK,129.1
Farm_00579,DAP,308.8
Farm_00580,NPK,66.0
Farm_00581,DAP,165.0
Farm_00582,Urea,360.6
Farm_00583,Urea,253.1
Farm_00584,DAP,150.4
Farm_00585,Urea,187.2
Farm_00586,Urea,356.7
Farm_00587,Urea,384.4
Farm_00588,NPK,350.9
Farm_00589,Urea,33.9
Farm_00590,DAP,320.8
Farm_00591,NPK,363.2
Farm_00592,NPK,129.6
Farm_00593,DAP,317.9
Farm_00594,NPK,270.6
Farm_00595,Urea,51.6
Farm_00596,DAP,78.5
Farm_00597,Urea,261.1
Farm_00598,NPK,253.1
Farm_00599,DAP,287.8
Farm_00600,NPK,170.9
Farm_00601,DAP,131.5
Farm_00602,DAP,196.5
Farm_00603,Urea,152.8
Farm_00604,Urea,107.9
Farm_00605,NPK,93.6
Farm_00606,NPK,260.2
Farm_00607,Urea,65.1
Farm_00608,NPK,229.1
Farm_00609,Urea,80.2
Farm_00610,DAP,115.4
Farm_00611,DAP,373.9
Farm_00612,NPK,195.8
Farm_00613,DAP,395.0
Farm_00614,Urea,380.4
Farm_00615,DAP,255.5
Farm_00616,Urea,199.2
Farm_00617,Urea,381.7
Farm_00618,Urea,144.3
Farm_00619,NPK,58.8
Farm_00620,DAP,63.2
Farm_00621,Urea,89.1
Farm_00622,NPK,400.0
Farm_00623,Urea,93.4
Farm_00624,Urea,365.8
Farm_00625,NPK,367.5
Farm_00626,Urea,139.7
Farm_00627,DAP,139.5
Farm_00628,DAP,218.0
Farm_00629,NPK,143.1
Farm_00630,DAP,364.0
Farm_00631,DAP,77.5
Farm_00632,NPK,147.3
Farm_00633,NPK,227.3
Farm_00634,DAP,92.1
Farm_00635,DAP,199.7
Farm_00636,Urea,52.4
Farm_00637,Urea,98.6
Farm_00638,NPK,381.5
Farm_00639,NPK,219.9
Farm_00640,NPK,132.7
Farm_00641,DAP,283.0
Farm_00642,Urea,175.7
Farm_00643,NPK,268.5
Farm_00644,NPK,32.0
Farm_00645,Urea,330.7
Farm_00646,Urea,389.1
Farm_00647,Urea,23.4
Farm_00648,Urea,334.4
Farm_00649,DAP,141.1
Farm_00650,DAP,91.2
Farm_00651,DAP,216.3
Farm_00652,Urea,228.4
Farm_00653,Urea,95.2
Farm_00654,NPK,72.7
Farm_00655,DAP,251.6
Farm_00656,Urea,323.6
Farm_00657,Urea,127.2
Farm_00658,DAP,33.9
Farm_00659,Urea,152.8
Farm_00660,NPK,238.4
Farm_00661,DAP,168.1
Farm_00662,NPK,266.8
Farm_00663,Urea,323.9
Farm_00664,NPK,166.5
Farm_00665,DAP,164.9
Farm_00666,NPK,396.4
Farm_00667,Urea,277.4
Farm_00668,NPK,355.5
Farm_00669,Urea,84.1
Farm_00670,DAP,203.0
Farm_00671,DAP,224.5
Farm_00672,NPK,275.2
Farm_00673,NPK,75.2
Farm_00674,NPK,264.1
Farm_00675,NPK,291.6
Farm_00676,NPK,393.7
Farm_00677,DAP,189.1
Farm_00678,DAP,230.9
Farm_00679,DAP,231.9
Farm_00680,NPK,135.9
Farm_00681,NPK,269.3
Farm_00682,Urea,153.5
Farm_00683,DAP,399.0
Farm_00684,DAP,91.6
Farm_00685,NPK,100.6
Farm_00686,Urea,305.2
Farm_00687,DAP,274.0
Farm_00688,Urea,312.9
Farm_00689,NPK,385.2
Farm_00690,DAP,67.4
Farm_00691,NPK,39.2
Farm_00692,NPK,318.0
Farm_00693,NPK,106.1
Farm_00694,NPK,65.4
Farm_00695,NPK,169.3
Farm_00696,NPK,128.8
Farm_00697,DAP,358.3
Farm_00698,Urea,360.9
Farm_00699,Urea,387.7
Farm_00700,DAP,377.4
Farm_00701,NPK,90.4
Farm_00702,NPK,35.3
Farm_00703,NPK,53.6
Farm_00704,DAP,329.8
Farm_00705,DAP,345.4
Farm_00706,DAP,280.2
Farm_00707,Urea,349.9
Farm_00708,NPK,251.4
Farm_00709,NPK,50.9
Farm_00710,Urea,398.3
Farm_00711,NPK,377.7
Farm_00712,Urea,239.9
Farm_00713,DAP,326.7
Farm_00714,NPK,393.7
Farm_00715,NPK,63.9
Farm_00716,Urea,202.0
Farm_00717,Urea,305.9
Farm_00718,DAP,282.2
Farm_00719,Urea,297.5
Farm_00720,DAP,272.4
Farm_00721,NPK,345.2
Farm_00722,DAP,43.2
Farm_00723,Urea,118.5
Farm_00724,Urea,243.1
Farm_00725,DAP,129.9
Farm_00726,DAP,388.5
Farm_00727,DAP,177.5
Farm_00728,Urea,62.3
Farm_00729,NPK,40.9
Farm_00730,DAP,294.8
Farm_00731,NPK,117.3
Farm_00732,Urea,209.3
Farm_00733,NPK,279.7
