farm_id,warehouse,harvest_tons
Farm_00001,WH19,44.12
Farm_00002,WH10,19.01
Farm_00003,WH03,63.08
Farm_00004,WH14,64.87
Farm_00005,WH18,29.73
Farm_00006,WH16,74.49
Farm_00007,WH08,46.19
Farm_00008,WH20,63.11
Farm_00009,WH05,46.06
Farm_00010,WH12,67.38
Farm_00011,WH15,42.35
Farm_00012,WH12,11.15
Farm_00013,WH08,72.89
Farm_00014,WH09,64.78
Farm_00015,WH16,18.8
Farm_00016,WH10,45.11
Farm_00017,WH13,2.18
Farm_00018,WH08,6.84
Farm_00019,WH07,17.69
Farm_00020,WH15,35.24
Farm_00021,WH16,29.86
Farm_00022,WH12,69.44
Farm_00023,WH10,36.68
Farm_00024,WH11,41.91
Farm_00025,WH05,2.9
Farm_00026,WH10,72.2
Farm_00027,WH01,14.96
Farm_00028,WH20,37.43
Farm_00029,WH15,2.88
Farm_00030,WH12,55.43
Farm_00031,WH08,8.49
Farm_00032,WH02,36.39
Farm_00033,WH12,19.43
Farm_00034,WH20,72.99
Farm_00035,WH07,2.84
Farm_00036,WH14,67.67
Farm_00037,WH11,4.48
Farm_00038,WH13,45.16
Farm_00039,WH15,38.07
Farm_00040,WH06,24.63
Farm_00041,WH18,39.35
Farm_00042,WH05,22.18
Farm_00043,WH03,48.05
Farm_00044,WH14,15.36
Farm_00045,WH09,53.52
Farm_00046,WH16,63.06
Farm_00047,WH02,5.4
Farm_00048,WH12,19.62
Farm_00049,WH12,37.07
Farm_00050,WH07,23.08
Farm_00051,WH20,12.02
Farm_00052,WH14,52.16
Farm_00053,WH09,47.31
Farm_00054,WH12,8.03
Farm_00055,WH09,8.64
Farm_00056,WH12,58.88
Farm_00057,WH12,47.67
Farm_00058,WH15,50.51
Farm_00059,WH01,2.03
Farm_00060,WH16,30.58
Farm_00061,WH18,46.07
Farm_00062,WH19,39.4
Farm_00063,WH16,1.82
Farm_00064,WH16,45.87
Farm_00065,WH01,62.43
Farm_00066,WH18,36.61
Farm_00067,WH07,7.37
Farm_00068,WH09,69.45
Farm_00069,WH03,71.75
Farm_00070,WH19,33.38
Farm_00071,WH03,34.2
Farm_00072,WH07,42.22
Farm_00073,WH02,68.44
Farm_00074,WH01,31.01
Farm_00075,WH16,33.76
Farm_00076,WH04,35.13
Farm_00077,WH14,63.31
Farm_00078,WH20,20.87
Farm_00079,WH19,21.98
Farm_00080,WH08,24.63
Farm_00081,WH20,63.82
Farm_00082,WH17,41.87
Farm_00083,WH16,22.84
Farm_00084,WH17,56.11
Farm_00085,WH14,1.3
Farm_00086,WH15,46.17
Farm_00087,WH06,69.85
Farm_00088,WH11,40.26
Farm_00089,WH12,26.79
Farm_00090,WH19,11.31
Farm_00091,WH06,2.7
Farm_00092,WH08,42.98
Farm_00093,WH14,33.47
Farm_00094,WH12,26.37
Farm_00095,WH07,9.03
