farmer_id,loan_usd,status
FRM00001,1027.0,Approved
FRM00002,4957.52,Pending
FRM00003,13316.63,Approved
FRM00004,19730.69,Pending
FRM00005,9682.3,Rejected
FRM00006,6305.86,Approved
FRM00007,16140.96,Rejected
FRM00008,6945.74,Pending
FRM00009,13179.64,Rejected
FRM00010,18095.51,Rejected
FRM00011,1361.04,Rejected
FRM00012,4469.8,Approved
FRM00013,5511.22,Approved
FRM00014,19886.69,Rejected
FRM00015,16396.51,Rejected
FRM00016,9243.11,Approved
FRM00017,1781.21,Pending
FRM00018,7278.08,Approved
FRM00019,9929.58,Rejected
FRM00020,11026.62,Rejected
FRM00021,9884.75,Rejected
FRM00022,1060.54,Approved
FRM00023,9496.46,Rejected
FRM00024,5241.32,Pending
FRM00025,16104.56,Pending
FRM00026,12762.19,Pending
FRM00027,1713.73,Approved
FRM00028,9752.55,Pending
FRM00029,16798.63,Rejected
FRM00030,8274.96,Pending
FRM00031,19082.82,Rejected
FRM00032,19607.09,Approved
FRM00033,5023.84,Approved
FRM00034,1594.82,Pending
FRM00035,1359.09,Approved
FRM00036,1900.71,Pending
FRM00037,18093.99,Pending
FRM00038,15583.91,Pending
FRM00039,12765.1,Approved
FRM00040,16330.97,Approved
FRM00041,2181.72,Pending
FRM00042,10302.29,Approved
FRM00043,8098.86,Rejected
FRM00044,12987.17,Rejected
FRM00045,13616.77,Pending
FRM00046,627.68,Pending
FRM00047,4066.31,Pending
FRM00048,15221.05,Rejected
FRM00049,16524.26,Rejected
FRM00050,10073.68,Rejected
FRM00051,14490.88,Pending
FRM00052,5994.64,Approved
FRM00053,4923.68,Rejected
FRM00054,4179.14,Rejected
FRM00055,18804.63,Pending
FRM00056,7585.36,Rejected
FRM00057,4274.01,Approved
FRM00058,5363.44,Approved
FRM00059,18636.71,Rejected
FRM00060,17472.0,Rejected
FRM00061,13506.64,Pending
FRM00062,8479.32,Pending
FRM00063,9070.46,Pending
FRM00064,11541.77,Rejected
FRM00065,11734.9,Approved
FRM00066,15028.66,Approved
FRM00067,11599.53,Rejected
FRM00068,18935.34,Pending
FRM00069,3735.14,Approved
FRM00070,6545.98,Rejected
FRM00071,4754.25,Approved
FRM00072,15121.53,Rejected
FRM00073,3695.66,Approved
FRM00074,17453.07,Rejected
FRM00075,10792.9,Approved
FRM00076,5664.49,Approved
FRM00077,18264.14,Rejected
FRM00078,812.0,Approved
FRM00079,14834.03,Rejected
FRM00080,5767.92,Approved
FRM00081,17139.63,Rejected
FRM00082,234.56,Pending
FRM00083,10816.14,Rejected
FRM00084,6429.75,Approved
FRM00085,13844.89,Approved
FRM00086,13722.84,Pending
FRM00087,17987.47,Rejected
FRM00088,13060.51,Approved
FRM00089,12623.94,Pending
FRM00090,1812.14,Approved
FRM00091,13849.97,Rejected
FRM00092,18521.29,Pending
FRM00093,14798.35,Pending
FRM00094,6280.0,Approved
FRM00095,9783.51,Approved
FRM00096,10907.13,Approved
FRM00097,18402.28,Rejected
FRM00098,5736.81,Pending
FRM00099,6697.68,Pending
FRM00100,17810.87,Pending
FRM00101,12569.23,Pending
FRM00102,3443.3,Pending
FRM00103,1567.72,Rejected
FRM00104,7282.56,Pending
FRM00105,19828.05,Rejected
FRM00106,6531.68,Rejected
FRM00107,19750.5,Rejected
FRM00108,17522.77,Rejected
FRM00109,612.24,Rejected
FRM00110,13067.65,Pending
FRM00111,17429.62,Approved
FRM00112,8732.51,Approved
FRM00113,14736.6,Approved
FRM00114,853.69,Pending
FRM00115,5532.16,Approved
FRM00116,17645.42,Approved
FRM00117,12627.32,Pending
FRM00118,7379.26,Pending
FRM00119,3082.62,Pending
FRM00120,19171.52,Rejected
FRM00121,8352.77,Pending
FRM00122,407.91,Rejected
FRM00123,13312.7,Rejected
FRM00124,14612.27,Approved
FRM00125,16033.89,Rejected
FRM00126,17506.92,Rejected
FRM00127,4288.45,Pending
FRM00128,3522.4,Rejected
FRM00129,13296.58,Approved
FRM00130,14558.96,Pending
FRM00131,15701.86,Pending
FRM00132,4154.4,Approved
FRM00133,14924.76,Pending
FRM00134,6918.72,Rejected
FRM00135,3827.05,Rejected
FRM00136,3589.4,Approved
FRM00137,13862.49,Approved
FRM00138,4910.6,Pending
FRM00139,7721.11,Rejected
