farm_id,disease,severity
Farm_00001,Root Rot,Low
Farm_00002,Healthy,Medium
Farm_00003,Root Rot,Medium
Farm_00004,Rust,Low
Farm_00005,Fall Armyworm,Medium
Farm_00006,Fall Armyworm,Low
Farm_00007,Root Rot,Medium
Farm_00008,Healthy,High
Farm_00009,Healthy,High
Farm_00010,Fall Armyworm,High
Farm_00011,Fall Armyworm,High
Farm_00012,Fall Armyworm,Low
Farm_00013,Fall Armyworm,Low
Farm_00014,Leaf Blight,Low
Farm_00015,Leaf Blight,High
Farm_00016,Healthy,High
Farm_00017,Root Rot,Low
Farm_00018,Root Rot,High
Farm_00019,Rust,Low
Farm_00020,Rust,Medium
Farm_00021,Leaf Blight,Medium
Farm_00022,Root Rot,Low
Farm_00023,Root Rot,Low
Farm_00024,Fall Armyworm,Low
Farm_00025,Rust,Low
Farm_00026,Fall Armyworm,High
Farm_00027,Rust,Low
Farm_00028,Rust,Low
Farm_00029,Root Rot,High
Farm_00030,Leaf Blight,Medium
Farm_00031,Fall Armyworm,Low
Farm_00032,Fall Armyworm,High
Farm_00033,Root Rot,Medium
Farm_00034,Fall Armyworm,Low
Farm_00035,Rust,Low
Farm_00036,Leaf Blight,Low
Farm_00037,Fall Armyworm,Medium
Farm_00038,Rust,Low
Farm_00039,Rust,Low
Farm_00040,Root Rot,Medium
Farm_00041,Rust,Medium
Farm_00042,Fall Armyworm,Low
Farm_00043,Healthy,Low
Farm_00044,Leaf Blight,Low
Farm_00045,Rust,High
Farm_00046,Root Rot,Medium
Farm_00047,Fall Armyworm,High
Farm_00048,Rust,Low
Farm_00049,Fall Armyworm,Low
Farm_00050,Fall Armyworm,Medium
Farm_00051,Rust,Medium
Farm_00052,Fall Armyworm,Medium
Farm_00053,Healthy,Medium
Farm_00054,Leaf Blight,High
Farm_00055,Rust,High
Farm_00056,Leaf Blight,Medium
Farm_00057,Leaf Blight,High
Farm_00058,Fall Armyworm,High
Farm_00059,Rust,High
Farm_00060,Rust,Medium
Farm_00061,Fall Armyworm,High
Farm_00062,Fall Armyworm,Medium
Farm_00063,Fall Armyworm,Low
Farm_00064,Root Rot,Low
Farm_00065,Root Rot,High
Farm_00066,Fall Armyworm,High
Farm_00067,Leaf Blight,Low
Farm_00068,Root Rot,Low
Farm_00069,Root Rot,Low
Farm_00070,Rust,High
Farm_00071,Healthy,Low
Farm_00072,Root Rot,Low
Farm_00073,Rust,Medium
Farm_00074,Healthy,Low
Farm_00075,Fall Armyworm,High
Farm_00076,Fall Armyworm,Medium
Farm_00077,Rust,High
Farm_00078,Root Rot,Medium
Farm_00079,Rust,Medium
Farm_00080,Rust,Low
Farm_00081,Leaf Blight,High
Farm_00082,Rust,Medium
Farm_00083,Rust,High
Farm_00084,Root Rot,Medium
Farm_00085,Fall Armyworm,High
Farm_00086,Root Rot,Medium
Farm_00087,Leaf Blight,Low
Farm_00088,Rust,Low
Farm_00089,Leaf Blight,Low
Farm_00090,Healthy,Low
Farm_00091,Leaf Blight,Medium
Farm_00092,Leaf Blight,High
Farm_00093,Fall Armyworm,Medium
Farm_00094,Fall Armyworm,Low
Farm_00095,Healthy,Medium
Farm_00096,Fall Armyworm,High
Farm_00097,Healthy,Low
Farm_00098,Rust,Low
Farm_00099,Leaf Blight,Medium
Farm_00100,Root Rot,Medium
Farm_00101,Root Rot,High
Farm_00102,Fall Armyworm,High
Farm_00103,Healthy,Low
Farm_00104,Healthy,Low
Farm_00105,Leaf Blight,High
Farm_00106,Root Rot,High
Farm_00107,Leaf Blight,High
Farm_00108,Fall Armyworm,Low
Farm_00109,Healthy,High
Farm_00110,Rust,High
Farm_00111,Leaf Blight,Medium
Farm_00112,Healthy,High
Farm_00113,Healthy,Low
Farm_00114,Rust,Low
Farm_00115,Fall Armyworm,Medium
Farm_00116,Root Rot,Medium
Farm_00117,Healthy,High
Farm_00118,Fall Armyworm,High
Farm_00119,Fall Armyworm,Medium
Farm_00120,Fall Armyworm,High
Farm_00121,Rust,Low
Farm_00122,Healthy,Medium
Farm_00123,Root Rot,Medium
Farm_00124,Rust,Low
Farm_00125,Fall Armyworm,High
Farm_00126,Leaf Blight,Low
Farm_00127,Healthy,Low
Farm_00128,Fall Armyworm,Medium
Farm_00129,Leaf Blight,Medium
Farm_00130,Leaf Blight,Medium
Farm_00131,Fall Armyworm,High
Farm_00132,Root Rot,High
Farm_00133,Healthy,Low
Farm_00134,Fall Armyworm,Medium
Farm_00135,Healthy,High
Farm_00136,Root Rot,Low
Farm_00137,Root Rot,High
Farm_00138,Healthy,Low
Farm_00139,Root Rot,Low
Farm_00140,Rust,High
Farm_00141,Fall Armyworm,Medium
Farm_00142,Root Rot,Medium
Farm_00143,Root Rot,Low
Farm_00144,Leaf Blight,Medium
Farm_00145,Healthy,Medium
Farm_00146,Root Rot,Medium
Farm_00147,Root Rot,High
Farm_00148,Fall Armyworm,Medium
Farm_00149,Healthy,High
Farm_00150,Fall Armyworm,High
Farm_00151,Fall Armyworm,High
Farm_00152,Rust,Low
Farm_00153,Rust,Medium
Farm_00154,Fall Armyworm,Low
Farm_00155,Rust,Medium
Farm_00156,Healthy,Low
Farm_00157,Leaf Blight,Low
Farm_00158,Healthy,Low
Farm_00159,Fall Armyworm,Low
Farm_00160,Leaf Blight,Low
Farm_00161,Rust,High
Farm_00162,Leaf Blight,High
Farm_00163,Leaf Blight,High
Farm_00164,Rust,Low
Farm_00165,Rust,High
Farm_00166,Healthy,High
Farm_00167,Rust,High
Farm_00168,Leaf Blight,Medium
Farm_00169,Leaf Blight,High
Farm_00170,Leaf Blight,Low
Farm_00171,Rust,Medium
Farm_00172,Root Rot,Medium
Farm_00173,Fall Armyworm,High
Farm_00174,Rust,High
Farm_00175,Healthy,Low
Farm_00176,Fall Armyworm,High
Farm_00177,Rust,Medium
Farm_00178,Rust,High
Farm_00179,Root Rot,High
Farm_00180,Root Rot,Low
Farm_00181,Leaf Blight,High
Farm_00182,Leaf Blight,Low
Farm_00183,Leaf Blight,Low
Farm_00184,Healthy,Medium
Farm_00185,Root Rot,High
Farm_00186,Root Rot,High
Farm_00187,Leaf Blight,Medium
Farm_00188,Root Rot,High
Farm_00189,Healthy,Low
Farm_00190,Fall Armyworm,Low
Farm_00191,Rust,Medium
Farm_00192,Fall Armyworm,High
Farm_00193,Healthy,Low
Farm_00194,Root Rot,Medium
Farm_00195,Leaf Blight,Medium
Farm_00196,Root Rot,High
Farm_00197,Root Rot,Low
Farm_00198,Healthy,High
Farm_00199,Fall Armyworm,Medium
Farm_00200,Rust,Low
Farm_00201,Healthy,Medium
Farm_00202,Fall Armyworm,High
Farm_00203,Leaf Blight,Low
Farm_00204,Root Rot,Low
Farm_00205,Leaf Blight,Medium
Farm_00206,Leaf Blight,High
Farm_00207,Fall Armyworm,Medium
Farm_00208,Leaf Blight,Low
Farm_00209,Healthy,Low
Farm_00210,Root Rot,High
Farm_00211,Healthy,Low
Farm_00212,Fall Armyworm,Low
Farm_00213,Root Rot,Low
Farm_00214,Rust,High
Farm_00215,Rust,Medium
Farm_00216,Healthy,Medium
Farm_00217,Rust,Low
Farm_00218,Healthy,Low
Farm_00219,Fall Armyworm,Medium
Farm_00220,Healthy,High
Farm_00221,Rust,High
Farm_00222,Healthy,Low
Farm_00223,Fall Armyworm,Medium
Farm_00224,Leaf Blight,Medium
Farm_00225,Root Rot,Medium
Farm_00226,Root Rot,Low
Farm_00227,Root Rot,Medium
Farm_00228,Root Rot,High
Farm_00229,Healthy,High
Farm_00230,Root Rot,Medium
Farm_00231,Leaf Blight,Low
Farm_00232,Healthy,Medium
Farm_00233,Root Rot,Medium
Farm_00234,Rust,High
Farm_00235,Healthy,Low
Farm_00236,Rust,Low
Farm_00237,Leaf Blight,Low
Farm_00238,Root Rot,Low
Farm_00239,Leaf Blight,Medium
Farm_00240,Fall Armyworm,Medium
Farm_00241,Root Rot,Medium
Farm_00242,Root Rot,Medium
Farm_00243,Fall Armyworm,Low
Farm_00244,Rust,Low
Farm_00245,Rust,High
Farm_00246,Healthy,High
Farm_00247,Rust,High
Farm_00248,Rust,High
Farm_00249,Fall Armyworm,Low
Farm_00250,Healthy,Medium
Farm_00251,Leaf Blight,Medium
Farm_00252,Leaf Blight,Low
Farm_00253,Fall Armyworm,Low
Farm_00254,Leaf Blight,Low
Farm_00255,Healthy,Low
Farm_00256,Leaf Blight,High
Farm_00257,Healthy,Medium
Farm_00258,Rust,Low
Farm_00259,Healthy,Medium
Farm_00260,Healthy,Low
Farm_00261,Root Rot,Medium
Farm_00262,Rust,Medium
Farm_00263,Leaf Blight,Medium
Farm_00264,Root Rot,High
Farm_00265,Fall Armyworm,Medium
Farm_00266,Root Rot,Low
Farm_00267,Leaf Blight,High
Farm_00268,Fall Armyworm,High
Farm_00269,Healthy,High
Farm_00270,Healthy,Low
Farm_00271,Fall Armyworm,Low
Farm_00272,Fall Armyworm,Low
Farm_00273,Leaf Blight,Low
Farm_00274,Fall Armyworm,Medium
Farm_00275,Healthy,Low
Farm_00276,Healthy,High
Farm_00277,Leaf Blight,Medium
Farm_00278,Fall Armyworm,Low
Farm_00279,Root Rot,Low
Farm_00280,Leaf Blight,Medium
Farm_00281,Root Rot,High
Farm_00282,Leaf Blight,Low
Farm_00283,Leaf Blight,Low
Farm_00284,Root Rot,Medium
Farm_00285,Healthy,Medium
