farm_id,farmer_id,region,crop,soil,farm_size_ha,yield_score
Farm_00001,FRM00001,Nasarawa,Cassava,Silt,4.09,74
Farm_00002,FRM00002,Enugu,Rice,Peaty,28.23,83
Farm_00003,FRM00003,Nasarawa,Yam,Sandy,49.02,47
Farm_00004,FRM00004,Ogun,Millet,Chalky,44.41,62
Farm_00005,FRM00005,Niger,Rice,Clay,11.98,54
Farm_00006,FRM00006,Benue,Yam,Clay,17.33,43
Farm_00007,FRM00007,Plateau,Yam,Chalky,26.06,53
Farm_00008,FRM00008,Ogun,Sorghum,Chalky,49.49,90
Farm_00009,FRM00009,Kano,Tomato,Chalky,24.16,51
Farm_00010,FRM00010,Niger,Maize,Loam,26.57,99
Farm_00011,FRM00011,Enugu,Maize,Silt,30.62,89
Farm_00012,FRM00012,Ogun,Yam,Peaty,35.11,96
Farm_00013,FRM00013,Niger,Soybean,Clay,49.71,65
Farm_00014,FRM00014,Oyo,Millet,Silt,27.06,72
Farm_00015,FRM00015,Kaduna,Soybean,Loam,13.46,51
Farm_00016,FRM00016,Oyo,Millet,Chalky,49.13,61
Farm_00017,FRM00017,Plateau,Sorghum,Sandy,16.51,42
Farm_00018,FRM00018,Bauchi,Tomato,Sandy,7.9,86
Farm_00019,FRM00019,Enugu,Maize,Chalky,31.5,83
Farm_00020,FRM00020,Plateau,Maize,Peaty,4.33,49
Farm_00021,FRM00021,Kaduna,Millet,Silt,41.08,68
Farm_00022,FRM00022,Niger,Tomato,Sandy,16.15,93
Farm_00023,FRM00023,Plateau,Cassava,Clay,22.09,60
Farm_00024,FRM00024,Plateau,Tomato,Chalky,15.39,75
Farm_00025,FRM00025,Oyo,Tomato,Silt,10.9,57
Farm_00026,FRM00026,Oyo,Yam,Silt,39.26,54
Farm_00027,FRM00027,Plateau,Soybean,Silt,11.57,78
Farm_00028,FRM00028,Benue,Yam,Loam,36.06,63
Farm_00029,FRM00029,Niger,Tomato,Loam,1.67,78
Farm_00030,FRM00030,Kaduna,Rice,Sandy,17.9,96
