market_id,region,crop,price_usd_ton
MKT071,Nasarawa,Cassava,451.12
MKT027,Enugu,Rice,507.2
MKT098,Nasarawa,Yam,555.3
MKT051,Ogun,Millet,424.94
MKT073,Niger,Rice,368.52
MKT049,Benue,Yam,235.87
MKT034,Plateau,Yam,524.35
MKT047,Ogun,Sorghum,182.82
MKT011,Kano,Tomato,685.34
MKT031,Niger,Maize,715.67
MKT100,Enugu,Maize,202.77
MKT010,Ogun,Yam,643.5
MKT091,Niger,Soybean,134.1
MKT035,Oyo,Millet,851.91
MKT003,Kaduna,Soybean,895.71
MKT010,Oyo,Millet,607.85
MKT032,Plateau,Sorghum,513.69
MKT068,Bauchi,Tomato,707.24
MKT085,Enugu,Maize,530.27
MKT087,Plateau,Maize,197.62
MKT047,Kaduna,Millet,223.43
MKT095,Niger,Tomato,346.07
MKT071,Plateau,Cassava,548.4
MKT058,Plateau,Tomato,826.88
MKT028,Oyo,Tomato,192.23
MKT059,Oyo,Yam,186.3
MKT068,Plateau,Soybean,303.12
MKT040,Benue,Yam,717.37
MKT015,Niger,Tomato,898.07
MKT012,Kaduna,Rice,158.42
MKT089,Kaduna,Yam,366.86
MKT077,Ogun,Cassava,181.63
MKT100,Kano,Soybean,638.25
MKT030,Bauchi,Soybean,775.63
MKT027,Plateau,Maize,755.5
MKT054,Niger,Rice,134.21
MKT022,Niger,Cassava,841.89
MKT025,Benue,Tomato,152.06
MKT023,Benue,Tomato,752.21
MKT022,Enugu,Rice,655.18
MKT049,Ogun,Soybean,251.62
MKT033,Nasarawa,Millet,361.86
MKT061,Bauchi,Maize,243.73
MKT031,Enugu,Sorghum,244.19
MKT058,Kano,Millet,256.81
MKT031,Benue,Rice,415.97
MKT004,Plateau,Soybean,144.08
MKT013,Oyo,Rice,737.73
MKT037,Bauchi,Maize,252.89
MKT042,Enugu,Millet,397.38
MKT017,Niger,Maize,380.56
MKT082,Nasarawa,Soybean,830.89
MKT083,Oyo,Maize,666.06
MKT014,Oyo,Yam,149.75
MKT049,Nasarawa,Sorghum,431.75
MKT046,Oyo,Yam,639.51
MKT039,Ogun,Maize,786.47
MKT071,Kano,Cassava,734.7
MKT038,Enugu,Maize,775.64
MKT037,Ogun,Cassava,459.45
MKT052,Kano,Sorghum,354.32
MKT054,Ogun,Cassava,146.71
MKT055,Kaduna,Tomato,123.73
MKT084,Nasarawa,Cassava,655.58
MKT008,Niger,Rice,605.04
MKT019,Oyo,Soybean,333.6
MKT067,Oyo,Yam,819.6
MKT003,Niger,Soybean,193.39
MKT082,Kaduna,Sorghum,429.97
MKT062,Benue,Cassava,163.5
MKT080,Ogun,Tomato,796.07
MKT022,Benue,Maize,323.32
MKT066,Benue,Soybean,229.31
MKT053,Benue,Rice,776.03
MKT042,Nasarawa,Maize,727.72
MKT031,Benue,Cassava,668.06
MKT068,Niger,Soybean,148.24
MKT054,Niger,Sorghum,876.36
MKT060,Kaduna,Tomato,580.39
MKT029,Bauchi,Soybean,267.27
MKT087,Kaduna,Cassava,696.14
MKT049,Niger,Tomato,784.31
MKT032,Plateau,Cassava,867.84
MKT025,Nasarawa,Maize,872.29
MKT008,Kano,Millet,611.48
MKT021,Kano,Maize,524.37
MKT051,Benue,Sorghum,574.48
MKT023,Plateau,Yam,252.54
MKT035,Nasarawa,Soybean,545.0
MKT097,Ogun,Soybean,215.78
MKT046,Kano,Rice,434.63
MKT026,Ogun,Soybean,710.43
MKT089,Kano,Millet,700.27
MKT021,Benue,Tomato,876.14
MKT055,Benue,Soybean,713.2
MKT097,Plateau,Soybean,498.71
MKT088,Plateau,Millet,251.4
MKT052,Kano,Tomato,189.94
MKT061,Oyo,Sorghum,186.33
MKT075,Oyo,Sorghum,410.17
MKT073,Plateau,Rice,182.58
MKT028,Oyo,Cassava,478.57
MKT078,Kaduna,Millet,208.12
MKT005,Plateau,Tomato,178.19
MKT030,Niger,Maize,136.0
MKT098,Kaduna,Rice,386.37
MKT033,Benue,Sorghum,686.79
MKT078,Kano,Yam,340.46
MKT008,Plateau,Maize,793.38
MKT072,Bauchi,Sorghum,239.66
MKT004,Nasarawa,Millet,607.21
MKT052,Benue,Yam,645.89
MKT001,Oyo,Millet,498.73
MKT051,Niger,Millet,190.38
MKT070,Kano,Maize,510.57
MKT089,Kano,Maize,440.09
MKT083,Enugu,Millet,465.09
MKT093,Kano,Tomato,391.27
MKT039,Ogun,Cassava,473.19
MKT070,Enugu,Soybean,334.18
MKT025,Ogun,Tomato,882.6
MKT026,Bauchi,Yam,433.31
MKT081,Benue,Yam,233.51
MKT060,Oyo,Maize,631.93
MKT024,Bauchi,Sorghum,458.3
MKT033,Plateau,Soybean,670.84
MKT012,Plateau,Sorghum,274.56
MKT030,Nasarawa,Maize,571.45
MKT005,Nasarawa,Sorghum,146.31
MKT032,Kano,Sorghum,247.94
MKT055,Kaduna,Rice,426.75
MKT053,Kano,Sorghum,733.55
MKT012,Kano,Maize,627.74
MKT072,Enugu,Millet,304.58
MKT039,Benue,Sorghum,476.84
MKT051,Benue,Rice,360.68
MKT038,Plateau,Sorghum,402.22
MKT035,Kano,Tomato,232.73
MKT045,Oyo,Rice,817.1
MKT080,Ogun,Soybean,471.19
MKT009,Oyo,Millet,802.97
MKT009,Nasarawa,Tomato,841.15
MKT066,Benue,Rice,332.96
MKT081,Niger,Yam,850.29
MKT069,Kano,Millet,376.95
MKT093,Kano,Maize,132.31
MKT044,Niger,Sorghum,739.9
MKT012,Enugu,Tomato,481.7
MKT022,Nasarawa,Tomato,432.17
MKT060,Benue,Maize,157.97
MKT011,Kano,Cassava,511.93
MKT012,Enugu,Yam,689.54
MKT088,Bauchi,Soybean,225.33
MKT043,Niger,Yam,121.35
MKT016,Kaduna,Soybean,891.97
MKT093,Bauchi,Cassava,505.08
MKT012,Ogun,Sorghum,243.27
MKT085,Plateau,Maize,206.95
MKT016,Kaduna,Maize,498.27
MKT028,Benue,Yam,199.17
MKT084,Ogun,Yam,404.3
MKT030,Kaduna,Millet,171.34
MKT078,Nasarawa,Maize,474.24
MKT053,Kaduna,Cassava,193.98
MKT089,Enugu,Rice,866.14
MKT052,Kaduna,Yam,870.04
MKT089,Niger,Tomato,133.74
MKT001,Niger,Rice,772.93
MKT034,Kano,Sorghum,222.78
MKT085,Benue,Millet,488.08
MKT021,Kaduna,Soybean,168.38
MKT092,Enugu,Soybean,491.64
MKT072,Oyo,Sorghum,220.58
MKT047,Niger,Rice,216.15
MKT079,Niger,Soybean,370.57
MKT097,Nasarawa,Soybean,615.93
MKT087,Niger,Soybean,543.23
MKT082,Kaduna,Maize,613.2
MKT004,Oyo,Maize,679.63
MKT049,Kano,Tomato,899.97
MKT007,Niger,Soybean,192.04
MKT041,Bauchi,Soybean,478.78
MKT036,Ogun,Rice,487.71
MKT096,Oyo,Cassava,693.34
MKT042,Plateau,Rice,618.55
MKT056,Nasarawa,Millet,325.79
MKT060,Oyo,Tomato,246.38
MKT071,Kaduna,Cassava,736.91
MKT053,Oyo,Cassava,380.33
MKT011,Enugu,Millet,567.2
MKT066,Plateau,Rice,855.6
MKT011,Plateau,Maize,784.09
MKT039,Plateau,Sorghum,877.43
MKT064,Ogun,Yam,847.92
MKT088,Nasarawa,Tomato,662.5
