farm_id,soil,ph,nitrogen,phosphorus,potassium
Farm_00001,Silt,5.44,0.097,25.9,90.5
Farm_00002,Peaty,5.92,0.351,8.1,52.5
Farm_00003,Sandy,5.26,0.319,7.0,180.3
Farm_00004,Chalky,6.28,0.17,19.4,195.1
Farm_00005,Clay,5.59,0.052,25.9,117.5
Farm_00006,Clay,7.65,0.388,8.5,83.7
Farm_00007,Chalky,7.07,0.214,37.1,59.1
Farm_00008,Chalky,6.14,0.565,54.4,240.6
Farm_00009,Chalky,7.2,0.584,24.8,124.3
Farm_00010,Loam,7.28,0.166,17.6,101.5
Farm_00011,Silt,6.47,0.229,30.9,156.6
Farm_00012,Peaty,7.32,0.125,11.1,132.8
Farm_00013,Clay,5.08,0.251,21.9,136.3
Farm_00014,Silt,5.64,0.49,14.2,228.0
Farm_00015,Loam,5.67,0.325,13.9,112.9
Farm_00016,Chalky,6.01,0.241,7.7,67.3
Farm_00017,Sandy,5.81,0.096,18.9,177.8
Farm_00018,Sandy,6.68,0.454,45.6,69.3
Farm_00019,Chalky,7.19,0.462,30.1,152.4
Farm_00020,Peaty,6.66,0.123,29.1,142.0
Farm_00021,Silt,5.02,0.1,42.4,95.0
Farm_00022,Sandy,7.32,0.116,51.3,189.7
Farm_00023,Clay,7.45,0.497,36.5,231.8
Farm_00024,Chalky,5.03,0.325,45.6,155.6
Farm_00025,Silt,6.52,0.248,39.3,151.1
Farm_00026,Silt,7.62,0.447,37.4,200.6
Farm_00027,Silt,5.64,0.224,47.0,90.9
Farm_00028,Loam,7.02,0.328,15.3,243.7
Farm_00029,Loam,5.35,0.297,40.6,106.0
Farm_00030,Sandy,5.94,0.473,20.4,208.8
Farm_00031,Loam,5.8,0.575,7.2,196.8
Farm_00032,Silt,6.62,0.23,21.0,116.0
Farm_00033,Loam,6.18,0.54,16.7,153.1
Farm_00034,Sandy,6.76,0.595,10.1,139.7
Farm_00035,Loam,4.93,0.6,6.9,193.8
Farm_00036,Chalky,7.66,0.222,33.3,115.0
Farm_00037,Loam,7.01,0.144,22.4,74.0
Farm_00038,Peaty,5.95,0.118,17.4,192.2
Farm_00039,Silt,6.2,0.296,35.9,212.0
Farm_00040,Loam,5.38,0.59,29.6,240.9
Farm_00041,Peaty,6.01,0.4,18.9,108.8
Farm_00042,Silt,5.33,0.459,7.4,212.2
Farm_00043,Loam,6.04,0.216,11.7,116.9
Farm_00044,Peaty,7.51,0.074,31.6,125.3
Farm_00045,Chalky,7.33,0.46,28.3,195.8
Farm_00046,Peaty,7.04,0.23,49.0,109.0
Farm_00047,Silt,5.12,0.561,22.2,69.8
Farm_00048,Clay,7.28,0.397,19.4,61.0
Farm_00049,Silt,6.41,0.169,48.1,59.1
Farm_00050,Peaty,6.27,0.595,33.1,62.0
Farm_00051,Sandy,5.31,0.291,43.7,161.6
Farm_00052,Sandy,7.18,0.453,26.7,81.2
Farm_00053,Chalky,7.34,0.417,37.6,224.3
Farm_00054,Silt,7.48,0.23,5.5,214.7
Farm_00055,Silt,6.99,0.388,36.9,93.0
Farm_00056,Clay,6.21,0.359,16.3,242.4
Farm_00057,Chalky,6.67,0.097,49.9,72.1
Farm_00058,Clay,6.63,0.428,53.9,59.0
Farm_00059,Silt,5.28,0.226,39.8,144.5
Farm_00060,Loam,5.82,0.478,32.7,231.6
Farm_00061,Clay,6.0,0.355,25.3,160.5
Farm_00062,Loam,7.16,0.359,17.9,103.4
Farm_00063,Peaty,5.05,0.31,49.8,171.6
Farm_00064,Chalky,7.54,0.079,6.6,52.7
Farm_00065,Sandy,7.63,0.482,33.3,101.4
Farm_00066,Silt,5.67,0.127,49.5,248.5
Farm_00067,Chalky,6.41,0.245,8.1,123.6
Farm_00068,Loam,5.27,0.378,22.2,149.1
Farm_00069,Clay,6.26,0.515,49.7,221.2
Farm_00070,Loam,5.57,0.332,42.0,199.9
Farm_00071,Clay,7.2,0.136,46.6,56.3
Farm_00072,Clay,5.54,0.064,33.5,102.3
Farm_00073,Loam,5.23,0.402,27.1,146.6
Farm_00074,Loam,6.55,0.161,8.3,193.9
Farm_00075,Clay,7.71,0.089,22.8,91.4
Farm_00076,Clay,5.58,0.511,36.8,137.4
Farm_00077,Clay,7.61,0.264,26.0,216.3
Farm_00078,Clay,5.77,0.16,38.5,87.4
Farm_00079,Clay,6.58,0.576,30.7,96.4
Farm_00080,Chalky,6.64,0.308,20.5,90.9
Farm_00081,Peaty,7.3,0.245,43.1,149.4
Farm_00082,Loam,6.05,0.481,48.6,167.5
Farm_00083,Peaty,7.26,0.232,53.4,167.7
