region,station,rainfall_mm,temperature_c,humidity_pct
Nasarawa,WX007,133,30.2,94
Enugu,WX012,66,30.2,54
Nasarawa,WX033,147,21.5,73
Ogun,WX002,158,25.5,44
Niger,WX001,164,35.5,53
Benue,WX007,40,29.9,42
Plateau,WX034,132,21.1,33
Ogun,WX018,160,23.4,74
Kano,WX028,242,31.4,41
Niger,WX009,151,38.7,54
Enugu,WX010,84,21.0,45
Ogun,WX017,183,36.7,55
Niger,WX022,147,22.1,70
Oyo,WX037,166,32.7,41
Kaduna,WX013,119,31.2,56
Oyo,WX013,253,36.5,47
Plateau,WX020,95,25.5,30
Bauchi,WX040,204,21.0,95
Enugu,WX016,165,23.5,88
Plateau,WX022,105,31.7,68
Kaduna,WX018,139,22.4,56
Niger,WX022,40,24.8,73
Plateau,WX013,237,25.8,84
Plateau,WX026,70,21.5,50
Oyo,WX022,232,19.3,65
Oyo,WX010,78,29.0,43
Plateau,WX001,42,29.3,88
Benue,WX026,90,18.1,67
Niger,WX010,146,19.1,37
Kaduna,WX008,183,38.2,56
Kaduna,WX005,195,25.1,64
Ogun,WX020,250,32.5,49
Kano,WX029,84,22.9,83
Bauchi,WX033,174,22.9,42
Plateau,WX014,49,25.7,48
Niger,WX027,112,32.0,83
Niger,WX026,62,30.0,77
Benue,WX037,95,18.9,50
Benue,WX012,45,18.1,92
Enugu,WX009,46,36.0,44
Ogun,WX021,135,18.8,53
Nasarawa,WX022,235,19.7,59
Bauchi,WX020,67,29.0,58
Enugu,WX034,227,28.3,51
Kano,WX031,223,29.3,78
Benue,WX016,255,33.6,50
Plateau,WX011,77,18.7,44
Oyo,WX003,257,37.1,41
Bauchi,WX007,128,27.8,36
Enugu,WX015,167,21.5,40
Niger,WX029,209,29.6,71
Nasarawa,WX007,90,26.1,48
Oyo,WX037,190,33.7,83
Oyo,WX034,212,31.9,53
Nasarawa,WX012,140,28.8,45
Oyo,WX005,247,34.8,54
Ogun,WX020,122,28.1,84
Kano,WX010,93,37.0,51
Enugu,WX032,103,28.5,30
Ogun,WX009,126,20.0,76
Kano,WX038,202,19.8,35
Ogun,WX007,207,18.3,47
Kaduna,WX010,161,34.2,43
Nasarawa,WX032,157,32.1,62
Niger,WX031,138,34.3,87
Oyo,WX017,108,26.9,35
Oyo,WX001,242,26.1,41
Niger,WX024,201,27.7,40
Kaduna,WX004,48,29.7,88
Benue,WX036,47,35.6,36
Ogun,WX001,159,33.1,54
Benue,WX029,78,23.6,82
Benue,WX011,54,35.5,67
Benue,WX018,84,22.3,54
Nasarawa,WX001,131,28.9,87
Benue,WX002,44,20.0,54
Niger,WX026,82,37.9,32
Niger,WX024,67,29.1,38
Kaduna,WX023,205,21.5,37
Bauchi,WX024,157,36.7,68
Kaduna,WX029,208,19.3,79
Niger,WX038,70,28.5,49
Plateau,WX037,136,30.2,41
Nasarawa,WX005,174,22.8,82
Kano,WX027,201,21.3,67
Kano,WX036,185,23.6,95
Benue,WX007,259,37.0,38
Plateau,WX038,96,26.7,81
Nasarawa,WX016,151,18.7,33
Ogun,WX017,192,36.9,77
Kano,WX020,89,19.4,69
Ogun,WX012,114,20.4,58
Kano,WX016,214,20.3,70
Benue,WX009,165,34.0,35
Benue,WX023,218,24.3,48
Plateau,WX011,123,27.3,76
Plateau,WX002,46,34.3,48
Kano,WX011,116,30.7,40
Oyo,WX012,225,21.5,67
Oyo,WX034,202,18.6,54
Plateau,WX032,98,29.6,58
Oyo,WX009,135,34.3,37
Kaduna,WX034,131,33.2,35
Plateau,WX018,153,18.3,73
Niger,WX030,124,30.1,79
Kaduna,WX007,132,34.6,60
Benue,WX030,143,27.4,68
Kano,WX035,45,33.9,64
Plateau,WX021,123,36.2,33
Bauchi,WX010,175,34.1,41
Nasarawa,WX007,207,35.0,76
Benue,WX025,157,22.5,33
Oyo,WX011,162,36.1,64
Niger,WX001,74,37.1,49
Kano,WX008,164,38.4,84
Kano,WX036,132,23.6,71
Enugu,WX013,209,20.4,34
Kano,WX021,58,31.2,58
Ogun,WX028,71,26.6,62
Enugu,WX025,104,18.4,55
Ogun,WX027,150,31.6,62
Bauchi,WX012,56,27.2,92
Benue,WX004,180,32.5,83
Oyo,WX028,259,29.3,69
Bauchi,WX019,91,32.9,88
Plateau,WX014,172,20.1,42
Plateau,WX015,140,38.5,71
Nasarawa,WX020,193,30.3,41
Nasarawa,WX005,225,29.7,42
Kano,WX007,67,36.5,44
Kaduna,WX037,93,32.5,59
Kano,WX012,248,24.4,40
Kano,WX022,57,33.8,38
Enugu,WX008,57,38.3,62
Benue,WX020,41,24.3,32
Benue,WX012,139,23.7,49
Plateau,WX033,210,25.9,62
Kano,WX010,226,30.7,88
Oyo,WX024,216,37.0,71
Ogun,WX007,214,23.5,80
Oyo,WX001,50,29.2,69
Nasarawa,WX012,222,36.3,82
Benue,WX025,113,20.8,79
Niger,WX038,182,30.5,34
Kano,WX025,171,38.0,82
Kano,WX013,237,23.6,67
