farm_id,market,sale_usd
Farm_00001,MKT007,48815.13
Farm_00002,MKT024,34979.82
Farm_00003,MKT035,23757.51
Farm_00004,MKT036,35349.2
Farm_00005,MKT052,19766.59
Farm_00006,MKT060,24071.72
Farm_00007,MKT098,42646.18
Farm_00008,MKT062,45469.04
Farm_00009,MKT077,49017.27
Farm_00010,MKT085,29209.1
Farm_00011,MKT098,44711.2
Farm_00012,MKT018,48380.48
Farm_00013,MKT014,4294.66
Farm_00014,MKT059,676.16
Farm_00015,MKT058,5403.44
Farm_00016,MKT089,14723.62
Farm_00017,MKT039,31520.53
Farm_00018,MKT006,6741.35
Farm_00019,MKT084,48789.18
Farm_00020,MKT016,49665.69
Farm_00021,MKT021,279.16
Farm_00022,MKT097,13830.25
Farm_00023,MKT071,6452.83
Farm_00024,MKT041,12032.42
Farm_00025,MKT091,38208.17
Farm_00026,MKT081,12664.52
Farm_00027,MKT087,32393.7
Farm_00028,MKT024,44834.16
Farm_00029,MKT086,36296.33
Farm_00030,MKT061,1611.07
Farm_00031,MKT092,47843.2
Farm_00032,MKT070,16355.34
Farm_00033,MKT034,10039.59
Farm_00034,MKT075,9788.66
Farm_00035,MKT064,27447.44
Farm_00036,MKT055,5765.61
Farm_00037,MKT082,19455.97
Farm_00038,MKT071,42465.58
Farm_00039,MKT085,2134.26
Farm_00040,MKT079,13822.13
Farm_00041,MKT089,44138.49
Farm_00042,MKT081,21668.42
Farm_00043,MKT086,39129.59
Farm_00044,MKT078,32170.41
Farm_00045,MKT035,31829.71
Farm_00046,MKT090,418.45
Farm_00047,MKT076,38112.26
Farm_00048,MKT037,2515.56
Farm_00049,MKT063,34790.88
Farm_00050,MKT055,45070.66
Farm_00051,MKT020,48740.89
Farm_00052,MKT065,49045.98
Farm_00053,MKT013,44747.74
Farm_00054,MKT074,22893.56
Farm_00055,MKT039,37099.38
Farm_00056,MKT030,13444.48
Farm_00057,MKT002,32899.43
Farm_00058,MKT015,27797.68
Farm_00059,MKT006,34161.14
Farm_00060,MKT065,49215.91
Farm_00061,MKT079,7437.88
Farm_00062,MKT016,38711.48
Farm_00063,MKT093,28492.59
Farm_00064,MKT041,18441.52
Farm_00065,MKT077,41647.99
Farm_00066,MKT049,10101.48
Farm_00067,MKT090,14560.84
Farm_00068,MKT036,21354.9
Farm_00069,MKT086,25374.4
Farm_00070,MKT084,5360.45
Farm_00071,MKT044,16196.02
Farm_00072,MKT037,6047.54
Farm_00073,MKT028,13914.68
Farm_00074,MKT098,23883.06
Farm_00075,MKT004,26572.47
Farm_00076,MKT075,25087.7
Farm_00077,MKT073,40238.48
Farm_00078,MKT070,40335.86
Farm_00079,MKT032,36822.95
Farm_00080,MKT042,24621.23
Farm_00081,MKT067,4843.08
Farm_00082,MKT050,32445.24
Farm_00083,MKT069,38696.73
Farm_00084,MKT012,8619.04
Farm_00085,MKT001,15406.35
Farm_00086,MKT008,32540.0
Farm_00087,MKT023,15808.2
Farm_00088,MKT050,16860.43
Farm_00089,MKT093,20317.09
Farm_00090,MKT002,19557.75
Farm_00091,MKT087,39989.62
Farm_00092,MKT092,26086.89
Farm_00093,MKT044,34611.86
Farm_00094,MKT012,10150.41
Farm_00095,MKT038,717.33
Farm_00096,MKT063,9571.45
Farm_00097,MKT048,6903.5
Farm_00098,MKT066,21329.67
Farm_00099,MKT008,36166.14
Farm_00100,MKT030,9107.03
Farm_00101,MKT097,47409.67
Farm_00102,MKT094,43551.65
Farm_00103,MKT003,24453.58
Farm_00104,MKT079,25898.17
Farm_00105,MKT035,3267.8
Farm_00106,MKT091,16927.09
Farm_00107,MKT039,29065.98
Farm_00108,MKT010,40492.56
Farm_00109,MKT060,43678.38
Farm_00110,MKT100,32400.59
Farm_00111,MKT020,45152.59
Farm_00112,MKT003,13189.81
Farm_00113,MKT027,42582.21
Farm_00114,MKT081,34503.96
Farm_00115,MKT029,36596.78
Farm_00116,MKT050,38071.8
Farm_00117,MKT049,11798.28
Farm_00118,MKT068,8539.73
Farm_00119,MKT023,37964.26
Farm_00120,MKT026,6502.19
Farm_00121,MKT049,19723.66
Farm_00122,MKT010,28594.17
Farm_00123,MKT041,19247.84
Farm_00124,MKT072,33228.27
Farm_00125,MKT093,28096.86
Farm_00126,MKT038,37932.61
Farm_00127,MKT016,32908.96
Farm_00128,MKT085,15071.21
Farm_00129,MKT010,18798.16
Farm_00130,MKT017,45429.27
